,Platz,Team,Spiele,S,U,N,Tore,G,A,Diff,Punkte,Year
355,14,1. FC Köln,34,10,6,18,51:69,51,69,-18,36,2019-20
356,15,FC Augsburg,34,9,9,16,45:63,45,63,-18,36,2019-20
357,16,Werder Bremen,34,8,7,19,42:69,42,69,-27,31,2019-20
358,17,Fortuna Düsseldorf,34,6,12,16,36:67,36,67,-31,30,2019-20
359,18,SC Paderborn 07,34,4,8,22,37:74,37,74,-37,20,2019-20
360,1,Bayern München,34,24,6,4,99:44,99,44,55,78,2020-21
361,2,RB Leipzig,34,19,8,7,60:32,60,32,28,65,2020-21
362,3,Borussia Dortmund,34,20,4,10,75:46,75,46,29,64,2020-21
363,4,VfL Wolfsburg,34,17,10,7,61:37,61,37,24,61,2020-21
364,5,Eintracht Frankfurt,34,16,12,6,69:53,69,53,16,60,2020-21
365,6,Bayer 04 Leverkusen,34,14,10,10,53:39,53,39,14,52,2020-21
366,7,1. FC Union Berlin,34,12,14,8,50:43,50,43,7,50,2020-21
367,8,Bor. Mönchengladbach,34,13,10,11,64:56,64,56,8,49,2020-21
368,9,VfB Stuttgart,34,12,9,13,56:55,56,55,1,45,2020-21
369,10,SC Freiburg,34,12,9,13,52:52,52,52,0,45,2020-21
370,11,TSG Hoffenheim,34,11,10,13,52:54,52,54,-2,43,2020-21
371,12,1. FSV Mainz 05,34,10,9,15,39:56,39,56,-17,39,2020-21
372,13,FC Augsburg,34,10,6,18,36:54,36,54,-18,36,2020-21
373,14,Hertha BSC,34,8,11,15,41:52,41,52,-11,35,2020-21
374,15,Arminia Bielefeld,34,9,8,17,26:52,26,52,-26,35,2020-21
375,16,1. FC Köln,34,8,9,17,34:60,34,60,-26,33,2020-21
376,17,Werder Bremen,34,7,10,17,36:57,36,57,-21,31,2020-21
377,18,FC Schalke 04,34,3,7,24,25:86,25,86,-61,16,2020-21
378,1,Bayern München,34,24,5,5,97:37,97,37,60,77,2021-22
379,2,Borussia Dortmund,34,22,3,9,85:52,85,52,33,69,2021-22
380,3,Bayer 04 Leverkusen,34,19,7,8,80:47,80,47,33,64,2021-22
381,4,RB Leipzig,34,17,7,10,72:37,72,37,35,58,2021-22
382,5,1. FC Union Berlin,34,16,9,9,50:44,50,44,6,57,2021-22
383,6,SC Freiburg,34,15,10,9,58:46,58,46,12,55,2021-22
384,7,1. FC Köln,34,14,10,10,52:49,52,49,3,52,2021-22
385,8,1. FSV Mainz 05,34,13,7,14,50:45,50,45,5,46,2021-22
386,9,TSG Hoffenheim,34,13,7,14,58:60,58,60,-2,46,2021-22
387,10,Bor. Mönchengladbach,34,12,9,13,54:61,54,61,-7,45,2021-22
388,11,Eintracht Frankfurt,34,10,12,12,45:49,45,49,-4,42,2021-22
389,12,VfL Wolfsburg,34,12,6,16,43:54,43,54,-11,42,2021-22
390,13,VfL Bochum,34,12,6,16,38:52,38,52,-14,42,2021-22
391,14,FC Augsburg,34,10,8,16,39:56,39,56,-17,38,2021-22
392,15,VfB Stuttgart,34,7,12,15,41:59,41,59,-18,33,2021-22
393,16,Hertha BSC,34,9,6,19,37:71,37,71,-34,33,2021-22
394,17,Arminia Bielefeld,34,5,13,16,27:53,27,53,-26,28,2021-22
395,18,SpVgg Greuther Fürth,34,3,9,22,28:82,28,82,-54,18,2021-22
396,1,Bayern München,34,21,8,5,92:38,92,38,54,71,2022-23
397,2,Borussia Dortmund,34,22,5,7,83:44,83,44,39,71,2022-23
398,3,RB Leipzig,34,20,6,8,64:41,64,41,23,66,2022-23
399,4,1. FC Union Berlin,34,18,8,8,51:38,51,38,13,62,2022-23
400,5,SC Freiburg,34,17,8,9,51:44,51,44,7,59,2022-23
401,6,Bayer 04 Leverkusen,34,14,8,12,57:49,57,49,8,50,2022-23
402,7,Eintracht Frankfurt,34,13,11,10,58:52,58,52,6,50,2022-23
403,8,VfL Wolfsburg,34,13,10,11,57:48,57,48,9,49,2022-23
404,9,1. FSV Mainz 05,34,12,10,12,54:55,54,55,-1,46,2022-23
405,10,Bor. Mönchengladbach,34,11,10,13,52:55,52,55,-3,43,2022-23
406,11,1. FC Köln,34,10,12,12,49:54,49,54,-5,42,2022-23
407,12,TSG Hoffenheim,34,10,6,18,48:57,48,57,-9,36,2022-23
408,13,Werder Bremen,34,10,6,18,51:64,51,64,-13,36,2022-23
409,14,VfL Bochum,34,10,5,19,40:72,40,72,-32,35,2022-23
410,15,FC Augsburg,34,9,7,18,42:63,42,63,-21,34,2022-23
411,16,VfB Stuttgart,34,7,12,15,45:57,45,57,-12,33,2022-23
412,17,FC Schalke 04,34,7,10,17,35:71,35,71,-36,31,2022-23
413,18,Hertha BSC,34,7,8,19,42:69,42,69,-27,29,2022-23
414,1,Bayer 04 Leverkusen,21,17,4,0,55:14,55,14,41,55,2023-24
415,2,Bayern München,21,16,2,3,59:22,59,22,37,50,2023-24
416,3,VfB Stuttgart,21,14,1,6,49:27,49,27,22,43,2023-24
417,4,Borussia Dortmund,21,11,7,3,43:26,43,26,17,40,2023-24
418,5,RB Leipzig,21,11,4,6,46:28,46,28,18,37,2023-24
419,6,Eintracht Frankfurt,21,8,8,5,31:25,31,25,6,32,2023-24
420,7,SC Freiburg,21,8,4,9,26:37,26,37,-11,28,2023-24
421,8,TSG Hoffenheim,21,7,6,8,38:40,38,40,-2,27,2023-24
422,9,1. FC Heidenheim,21,7,6,8,30:36,30,36,-6,27,2023-24
423,10,Werder Bremen,21,7,5,9,30:34,30,34,-4,26,2023-24
424,11,FC Augsburg,21,5,8,8,31:39,31,39,-8,23,2023-24
425,12,VfL Wolfsburg,21,6,5,10,25:33,25,33,-8,23,2023-24
426,13,Bor. Mönchengladbach,21,5,7,9,36:41,36,41,-5,22,2023-24
427,14,VfL Bochum,21,4,10,7,23:39,23,39,-16,22,2023-24
428,15,1. FC Union Berlin,21,6,3,12,20:35,20,35,-15,21,2023-24
429,16,1. FC Köln,21,3,7,11,15:35,15,35,-20,16,2023-24
430,17,1. FSV Mainz 05,21,1,9,11,16:35,16,35,-19,12,2023-24
431,18,SV Darmstadt 98,21,2,6,13,22:49,22,49,-27,12,2023-24
